1975-10-07T00:00:00	Richard III	Ian Richardson	Barry Kyle	Royal Shakespeare Company	The Other Place, Stratford-upon-Avon
1961-05-24T00:00:00	Richard III	Christopher Plummer	William Gaskill	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1964-01-11T00:00:00	Richard III	Ian Holm	Peter Hall	Royal Shakespeare Company	Aldwych Theatre, London
2001-03-11T00:00:00	Richard III	Aidan McArdle	Michael Boyd	Royal Shakespeare Company	Power Center for the Performing Arts, Ann Arbor, Michigan, USA
1980-11-04T00:00:00	Richard III	Alan MacKenzie Howard	Terry Hands	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1923-04-28T00:00:00	Richard III	Baliol Holloway	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1992-09-29T00:00:00	Richard III	Simon Russell Beale	Sam Mendes	Royal Shakespeare Company	Tour
1992-09-29T00:00:00	Richard III	Ciaran Hinds	Sam Mendes	Royal Shakespeare Company	Tour
1985-04-30T00:00:00	Richard III	Antony Sher	Bill Alexander	Royal Shakespeare Company	Barbican Theatre, London
1998-10-28T00:00:00	Richard III	Robert Lindsay	Elijah Moshinsky	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1995-09-06T00:00:00	Richard III	David Troughton	Steven Pimlott	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1970-04-15T00:00:00	Richard III	Norman Rodway	Terry Hands	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1939-04-06T00:00:00	Richard III	John Paton Laurie	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1988-10-22T00:00:00	Richard III	Anton Lesser	Adrian Noble	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
2003-07-23T00:00:00	Richard III	Henry Goodman	Sean Holmes	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon
1928-04-13T00:00:00	Richard III	George Hayes	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1953-03-24T00:00:00	Richard III	Marius Goring	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2012-04-17T00:00:00	Richard III	Jonjo O'Neill	Roxana Silbert	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon
2011-03-27T00:00:00	Richard III	Richard Clothier	director unknown	unknown production company	The Lowry Theatre
2007-05-19T00:00:00	Richard III	Rob Maloney	Martin Nichols	unknown production company	New Venture Theatre, Brighton
1901-04-27T00:00:00	Richard III	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1995-01-01T00:00:00	Richard III	Gareth Armstrong	Mark Clements	unknown production company	Derby Playhouse
1963-08-19T00:00:00	Richard III	Neil Stacy	Michael Croft	The Youth Theatre	Scala Theatre, London
1919-04-26T00:00:00	Richard III	F R Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1928-04-13T00:00:00	Richard III	George Hayes	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1981-11-24T00:00:00	Richard III	Alan Howard	Terry Hands	Royal Shakespeare Company	Aldwych Theatre, London
1990-01-01T00:00:00	Richard III	Ian McKellen	Richard Eyre	National Theatre	Lyttelton Theatre, National Theatre
1961-01-01T00:00:00	Richard III	Paul Daneman	Colin George	unknown production company	Old Vic, London
1939-04-06T00:00:00	Richard III	John Laurie	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
1989-01-01T00:00:00	Richard III	Derek Jacobi	Clifford Williams	unknown production company	Kennedy Center Washington DC, USA
1976-01-01T00:00:00	Richard III	Alan Badel	Douglas Campbell	unknown production company	St George’s Theatre, Tufnell Park
1923-07-25T00:00:00	Richard III	Baliol Holloway	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon
2016-08-06T00:00:00	Richard III	Ralph Fiennes	Rupert Goold	unknown production company	Almeida Theatre, London, Islington
2002-07-13T00:00:00	Richard III	Tom McCamus	MARTHA HENRY	Stratford Festival	Avon Theatre (Canada)
1997-06-25T00:00:00	Richard III	Stephen Ouimette	John Wood	Stratford Festival	Tom Patterson Theatre (Canada)
1953-12-09T00:00:00	Richard III	José Ferrer	director unknown	New York City Theatre Company	City Center
2007-11-13T00:00:00	Richard III	Michael Cumpsty	director unknown	Classic Stage Company	East 13th Street/CSC Theatre
1970-06-25T00:00:00	Richard III	Donald Madden	Stuart Vaughan	Joseph Papp Public Theater/New York Shakespeare Festival	Delacorte Theater
1974-10-20T00:00:00	Richard III	Michael Moriarty	Mel Shapiro	Joseph Papp	Mitzi E. Newhouse Theater
